AB, Alberta, Alberta
BC, British Columbia, Colombie-Britannique
MB, Manitoba, Manitoba
NB, New Brunswick, Nouveau-Brunswick
NL, Newfoundland and Labrador, Terre-Neuve et Labrador
NS, Nova Scotia, Nouvelle-&Eacute;cosse
NT, Northwest Territories, Territoires du Nord-Ouest
NU, Nunavut, Nunavut
ON, Ontario, Ontario
PE, Prince Edward Island, &Icirc;le-du-Prince-&Eacute;douard
QC, Quebec, Qu&eacute;bec
SK, Saskatchewan, Saskatchewan
YT, Yukon, Yukon
